,Product,Date,InefficiencyRaw,InefficiencyWeighted,InefficiencyWeightedOptimal
73,FYG,2021-04-04,1.423179891021216,0.5626500892333441,1.2192591901116316
74,FYG,2021-04-05,1.4564719800893242,0.8328045703239216,1.7265584982900888
75,FYG,2021-04-06,1.4070001316188656,1.0560940193663477,1.241276603259816
76,FYG,2021-04-07,1.1662481084974008,0.879476712209538,1.029179023194362
77,FYG,2021-04-08,1.4553754121640607,0.4960467940326495,1.3002548615152205
78,FYG,2021-04-09,1.2311740426472235,0.66436808429674,1.0659741870895891
79,FYG,2021-04-11,1.5601332689824912,0.5445156054250956,1.289621748470303
80,FYG,2021-04-12,1.3895126052638351,0.6334383909085917,1.04663717638324
81,FYG,2021-04-13,1.176352952025138,0.8114241183220444,1.0058029744477996
82,FYG,2021-04-14,1.6415303857672376,1.4296461032172738,1.7953324501896537
