,account,externalSymbol,datetime,signed_quantity,maker,trade,maker_ratio
708,12660HNF4CILP1,FYGM21,2021-03-16 15:30:00,36,6,9,0.6666666666666666
709,12660HNF4CILP1,FYGM21,2021-03-16 16:00:00,10,5,9,0.5555555555555556
710,12660HNF4CILP1,STFM21,2021-03-16 02:30:00,-2,0,1,0.0
711,12660HNF4CILP1,STFM21,2021-03-16 03:00:00,1,9,26,0.34615384615384615
712,12660HNF4CILP1,STFM21,2021-03-16 03:30:00,-1,2,5,0.4
713,12660HNF4CILP1,STFM21,2021-03-16 04:00:00,4,1,7,0.14285714285714285
714,12660HNF4CILP1,STFM21,2021-03-16 04:30:00,-5,6,11,0.5454545454545454
715,12660HNF4CILP1,STFM21,2021-03-16 05:00:00,11,2,7,0.2857142857142857
716,12660HNF4CILP1,STFM21,2021-03-16 05:30:00,2,1,2,0.5
717,12660HNF4CILP1,STFM21,2021-03-16 06:00:00,-2,3,9,0.3333333333333333
718,12660HNF4CILP1,STFM21,2021-03-16 06:30:00,0,1,3,0.3333333333333333
719,12660HNF4CILP1,STFM21,2021-03-16 07:00:00,-2,1,1,1.0
720,12660HNF4CILP1,STFM21,2021-03-16 07:30:00,0,0,0,
721,12660HNF4CILP1,STFM21,2021-03-16 08:00:00,0,17,27,0.6296296296296297
722,12660HNF4CILP1,STFM21,2021-03-16 08:30:00,-6,4,6,0.6666666666666666
723,12660HNF4CILP1,STFM21,2021-03-16 09:00:00,-3,8,17,0.47058823529411764
724,12660HNF4CILP1,STFM21,2021-03-16 09:30:00,30,129,273,0.4725274725274725
725,12660HNF4CILP1,STFM21,2021-03-16 10:00:00,-1,5,13,0.38461538461538464
726,12660HNF4CILP1,STFM21,2021-03-16 10:30:00,10,5,8,0.625
727,12660HNF4CILP1,STFM21,2021-03-16 11:00:00,1,4,5,0.8
728,12660HNF4CILP1,STFM21,2021-03-16 11:30:00,-4,3,3,1.0
