,account,num_trades,quantity,StdInventory,NetPosition,Unnamed: 0,ask_share,bid_share,BBO_share,both_share,mmlabel,hftlabel
571,082QZSSXGMMBXJ,36.32,593.2,0.2000813732990565,0.26153350534036607,341.0,0.000657242063492,0.0007440476190476,0.0014012896825396,0.0,0,0
572,082R0VAVA97TOM,7.0,28.0,0.0675943176296267,0.0714285714285714,,,,,,0,0
573,082R1ACLFX,1.0,1.0,0.9826275139789608,1.0,,,,,,0,0
574,082R1U1DVMV5T,2.409090909090909,5.2727272727272725,0.4307487864059047,0.8458862883996574,342.0,0.0015364583333333,0.0014409722222222,0.002109375,0.0008680555555555,0,0
575,082R4EDBIE8VL,39.7,91.95,0.10269569555222877,0.20648353688345294,343.0,0.0066080729166666,0.0063042534722222,0.0129123263888888,0.0,0,0
576,082R4S17DLV1UJU,75.39285714285714,166.64285714285714,0.13965057380512585,0.1381889654003897,344.0,0.0403790509259259,0.0400462962962962,0.0804253472222222,0.0,0,0
577,082R85CS,1.0,2.0,0.7931972534579442,1.0,345.0,8.680555555555556e-05,8.680555555555556e-05,0.0001736111111111,0.0,0,0
578,082R88J0,6.5,17.0,0.21276116779955304,0.32142857142857145,346.0,0.0004774305555555,0.0010850694444444,0.0015625,0.0,0,0
579,082RBAAYH2,25.0,111.0,0.2281129712018281,0.2612612612612612,,,,,,0,0
580,082RC4NH7M,1.0,2.0,0.9601712438160214,1.0,347.0,0.0,0.0001736111111111,0.0001736111111111,0.0,0,0
581,082RFISN25Y,4.0,7.0,0.105274564341216,0.1428571428571428,,,,,,0,0
582,082RFV164,14.0,81.14285714285714,0.28794991934042624,0.3295505709570784,348.0,0.0006944444444444,0.0007465277777777,0.0014409722222222,0.0,0,0
583,082RFV3H9ZWE4,1130.0,2266.0,0.0045595522207111504,0.01475407954872245,349.0,0.0576388888888888,0.0574652777777777,0.1151041666666666,0.0,0,0
584,082RMRUOCERWK2T,105.22222222222223,297.8888888888889,0.061227752777916256,0.10719660626834976,350.0,0.0079861111111111,0.0077365451388888,0.01572265625,0.0,0,0
585,082RPIV1TFAFP2Q,17.333333333333332,71.66666666666667,0.2304273742207056,0.2775424253685123,351.0,0.0001736111111111,0.0002893518518518,0.0004629629629629,0.0,0,0
586,082RSG4489,1.0,2.0,0.8272067171678851,1.0,,,,,,0,0
587,082RUHZNVR1X4,13.0,26.0,0.0755417798739555,0.0769230769230769,,,,,,0,0
588,082RW2HM,34.0,80.0,0.1653458956623947,0.25,,,,,,0,0
589,082RWXIHPMLA,4.714285714285714,7.428571428571429,0.2064863812255832,0.2675324675324675,352.0,0.000625,0.000625,0.00125,0.0,0,0
590,082RXSC,1.0,3.0,0.7195801812158408,1.0,,,,,,0,0
591,082S,1.0,2.0,0.8551861104941366,1.0,,,,,,0,0
592,082S7EVSQH,3.0,8.5,0.3309198567894725,0.5,353.0,0.0005208333333333,0.0008246527777777,0.0013454861111111,0.0,0,0
593,082S7F3DBIFUBU,16.0,40.5,0.36182840613506106,0.38235294117647056,,,,,,0,0
594,082SDBY7V,8.0,13.0,0.1619561599840467,0.3846153846153846,354.0,0.0,0.0004340277777777,0.0004340277777777,0.0,0,0
595,082SFA6ITD5XL,1.3333333333333333,2.5454545454545454,0.6868424692781875,0.9097190391308039,355.0,4.340277777777778e-05,8.680555555555556e-05,0.0001302083333333,0.0,0,0
596,082SKKZITB,3.0,7.0,0.9750033118375264,1.0,,,,,,0,0
597,082SL,30.975,98.525,0.22259789407905112,0.29221307830270826,356.0,0.0046164772727272,0.0043218644781144,0.0089357112794612,2.6304713804713806e-06,0,0
598,082SLO3L,64.75,98.5,0.27421760619031155,0.39293328797610255,357.0,0.0058883101851851,0.0068431712962962,0.0127314814814814,0.0,0,0
599,082T5BVPMTV,1.3333333333333333,40.666666666666664,0.43874669508336783,1.0,,,,,,0,0
600,082T6,2.0,11.0,0.2386615237157737,0.2727272727272727,358.0,8.680555555555556e-05,0.0,8.680555555555556e-05,0.0,0,0
601,082T775E15U2,1.0,1.0,0.3689058191399755,1.0,,,,,,0,0
602,082TB1A,500.5,1567.0,0.0157565306104503,0.0228480266544168,359.0,0.0020833333333333,0.0015625,0.0036458333333333,0.0,0,0
603,082TF3KLA2W,36.224657534246575,169.26575342465753,0.28980401138767325,0.3601845663265228,360.0,0.0117226957070707,0.0116424663299663,0.023365162037037,0.0,0,0
604,082TIH3UBY5GBTG,27.0,122.0,0.0219919773491164,0.058149287112105104,361.0,0.0027777777777777,0.00234375,0.0051215277777777,0.0,0,0
605,082TKVER63,6.333333333333333,23.0,0.5343142204298492,0.7211257309941521,,,,,,0,0
606,082TL5L,4.230769230769231,7.384615384615385,0.42119312790297714,0.6102564102564103,362.0,0.0002387152777777,0.0003146701388888,0.0005533854166666,0.0,0,0
607,082TRS4ABTDRGL,80.33333333333333,174.66666666666666,0.028964070850799134,0.07343940357638984,363.0,0.0077546296296296,0.0076967592592592,0.0154513888888888,0.0,0,0
608,082TT,1.0,4.0,0.36951005762576233,1.0,,,,,,0,0
609,082TW2AK27G5R9,3.0,8.0,0.0,0.0,,,,,,0,0
610,082U30UBOFWH4,28.5,50.25,0.27026878589764497,0.33816425120772947,364.0,0.0010633680555555,0.0010633680555555,0.0021267361111111,0.0,0,0
611,082U52IX6Q7,8.0,185.0,0.0153457369753746,0.0162162162162162,,,,,,0,0
612,082U5QRZKNJC,10.0,21.0,0.0467639589695913,0.0476190476190476,,,,,,0,0
613,082U8EBD8R7,1.4285714285714286,2.857142857142857,0.5690688284777943,0.7428571428571429,,,,,,0,0
614,082U8QO5G7Q2,24.0,46.0,0.1251443793418857,0.1739130434782608,,,,,,0,0
615,082UBW1,22.0,108.0,0.35042301939772136,0.383738544064631,365.0,0.0006944444444444,0.0001736111111111,0.0008680555555555,0.0,0,0
616,082UDHP3V,373.0,2681.5,0.10762828843277765,0.118954110916081,366.0,0.0084635416666666,0.0102430555555555,0.0187065972222222,0.0,0,0
617,082UJMVFJM7,39.0,103.0,0.1453321496403863,0.186396835057821,367.0,0.0021267361111111,0.0018229166666666,0.0039496527777777,0.0,0,0
618,082UM,43.61538461538461,94.07692307692308,0.19577878030689638,0.29059600146185177,368.0,0.0236002604166666,0.0240342881944444,0.0476345486111111,0.0,0,0
619,082UWMZV,130.55172413793105,202.44827586206895,0.07646739151224123,0.07914840796311792,369.0,0.0026840277777777,0.0027083333333333,0.0053923611111111,0.0,0,0
620,082UXQE6J,1.3333333333333333,5.0,0.6632507015480399,1.0,370.0,0.0008969907407407,0.0012152777777777,0.0021122685185185,0.0,0,0
621,082V,56.2,109.4,0.08692371698355032,0.13877441060771548,371.0,0.0029916914682539,0.0031001984126984,0.0060918898809523,0.0,0,0
622,082V0C3G8COQFX,5.0,16.0,0.5330629816120207,0.75,,,,,,0,0
623,082V47TG,9.0,20.0,0.0,0.0,,,,,,0,0
624,082VC9LBZ,1.0,1.25,0.9168423181377922,1.0,,,,,,0,0
625,082VCVWROH,16.0,146.0,0.5037400310223951,0.6986301369863014,,,,,,0,0
626,082VHEBUPU,47.0,144.66666666666666,0.08829575290741747,0.13296703296703294,372.0,0.0015625,0.0014756944444444,0.0030381944444444,0.0,0,0
627,082VI5BUE0C,1.1428571428571428,1.7142857142857142,0.9826275139789608,1.0,,,,,,0,0
628,082VM6,41.375,1966.375,0.1840726870972417,0.26910427773533313,,,,,,0,0
629,082VMTUIZ,39.78125,119.0625,0.5555113554362168,0.5841490731540019,373.0,0.0010633680555555,0.0011393229166666,0.0022026909722222,0.0,0,0
630,082VN4N,2.0,11.0,0.6544030855616836,1.0,,,,,,0,0
631,082VVD,2.5,4.0,0.41685909323376824,0.5714285714285714,,,,,,0,0
632,082VVFVV,45.58139534883721,78.72093023255815,0.2715312235509001,0.3168021316053289,374.0,0.0071252893518518,0.0074845679012345,0.0146098572530864,0.0,0,0
633,082VXOUD,78.88888888888889,222.0,0.17327432630797157,0.22223499181239348,375.0,0.0012219551282051,0.0013555021367521,0.0025774572649572,0.0,0,0
634,082W04XC1,21.833333333333332,80.0,0.1104300084384446,0.2122686655302427,,,,,,0,0
635,082W3,3.0,101.0,0.3843572584162822,0.5643564356435643,,,,,,0,0
636,082W7,34.4,50.93333333333333,0.2578379700253334,0.2869214681049874,376.0,0.0047019675925925,0.0049768518518518,0.0096788194444444,0.0,0,0
637,082WAFGJD,69.52941176470588,401.05882352941177,0.19728808540669107,0.23690039109287414,377.0,0.0011791087962962,0.0013237847222222,0.0025028935185185,0.0,0,0
638,082WBVUX325,1.0,2.0,0.7195801812158408,1.0,,,,,,0,0
