,account,ask_share,bid_share,BBO_share,both_share
903,3001JFDXBXECFPM,0.00047743055555555554,0.00047743055555555554,0.0009548611111111111,0.0
904,3002,0.003097222222222222,0.0030416666666666665,0.006097222222222223,4.1666666666666665e-05
905,3002E8D39PZ6,0.00047743055555555554,0.0006076388888888889,0.0010850694444444445,0.0
906,3002FFRIWJU,8.680555555555556e-05,0.0,8.680555555555556e-05,0.0
907,3002WQOFP9GHC,0.0,8.680555555555556e-05,8.680555555555556e-05,0.0
908,3003,0.01357638888888889,0.01351438492063492,0.02709077380952381,0.0
909,3003YB,0.00043402777777777775,0.0013020833333333333,0.001736111111111111,0.0
910,30043VVOE,0.0007787698412698412,0.000689484126984127,0.0014682539682539682,0.0
911,3004Q94G,8.680555555555556e-05,0.0,8.680555555555556e-05,0.0
912,30059HJ6IJ1V5,0.0019097222222222222,0.002170138888888889,0.004079861111111111,0.0
913,3005PCT8NHXNMA,0.0022804054054054055,0.0022475600600600602,0.004518581081081081,9.384384384384384e-06
914,3005UT9TKU4,0.008743248456790123,0.00865162037037037,0.017394868827160494,0.0
915,3006G9,0.006891177398989899,0.007088462752525252,0.013979640151515151,0.0
916,3006NHS,8.680555555555556e-05,0.00017361111111111112,0.00026041666666666666,0.0
917,3006Y0GLYHV75X,0.018598090277777778,0.017534722222222222,0.0361328125,0.0
918,3007DUPNECKEE,0.020414624183006536,0.02032781862745098,0.04074244281045752,0.0
919,3007JZ73GVN0UUH,0.0011558845029239766,0.0012838084795321638,0.0022112573099415203,0.00022843567251461987
920,3007SF708,0.00026041666666666666,0.0,0.00026041666666666666,0.0
921,3007VB,0.025067274305555557,0.024967447916666666,0.050034722222222223,0.0
922,3007W4RA6Y0,7.233796296296296e-05,5.787037037037037e-05,0.00013020833333333333,0.0
923,3008H4,0.00043402777777777775,0.0005425347222222222,0.0009765625,0.0
924,3008J3,0.00046875,0.0004166666666666667,0.0008854166666666666,0.0
925,3008JYV7S9U98I,0.0,8.680555555555556e-05,8.680555555555556e-05,0.0
926,3009,0.006440033783783784,0.006273460960960961,0.012713494744744746,0.0
927,30091A0,0.0005497685185185186,0.00031828703703703706,0.0008680555555555555,0.0
928,300A5MNPCES,0.011168981481481481,0.010942322530864197,0.02211130401234568,0.0
929,300AE,0.0013743764116055696,0.0014426298677123923,0.002817006279317962,0.0
930,300AE5HX,0.0005208333333333333,0.00026041666666666666,0.00078125,0.0
931,300AQJGHPHS,0.0003761574074074074,0.0003761574074074074,0.0007523148148148148,0.0
932,300ARTD9I,0.0008680555555555555,0.0008342978395061728,0.0017023533950617283,0.0
933,300AU,0.0015625,0.001345486111111111,0.002907986111111111,0.0
934,300AU02AA8YEA,0.0009858630952380952,0.001097470238095238,0.0020833333333333333,0.0
935,300BKQVYJL2NU,0.0006572420634920635,0.0005952380952380953,0.0012524801587301588,0.0
936,300BRYVSUTZ2QP,0.0007507507507507507,0.0008211336336336337,0.0015718843843843843,0.0
937,300BSZGY82,0.0005523989898989899,0.0005208333333333333,0.0010732323232323232,0.0
938,300BTER5E,0.008289930555555556,0.008870442708333334,0.01716037326388889,0.0
939,300CH,0.00026041666666666666,0.0005208333333333333,0.00078125,0.0
940,300CSE,0.004861111111111111,0.005815972222222222,0.010677083333333334,0.0
941,300DRCYNFK75X9,0.002506510416666667,0.0026258680555555558,0.005132378472222222,0.0
942,300EB,0.0,8.680555555555556e-05,8.680555555555556e-05,0.0
943,300EI2BDUL,0.008166399572649573,0.008046207264957264,0.01621260683760684,0.0
944,300EIYC,0.00047743055555555554,0.0005332341269841269,0.0010106646825396826,0.0
945,300EXOEAPMSMFG,0.0011284722222222221,0.001388888888888889,0.0025173611111111113,0.0
946,300F2G3QOUVIWJ,0.00014467592592592592,0.0002025462962962963,0.00034722222222222224,0.0
947,300FE0EZ,0.0003968253968253968,0.0004092261904761905,0.0007998511904761905,6.200396825396825e-06
948,300FFX,0.0009548611111111111,0.0013020833333333333,0.0022569444444444442,0.0
949,300FL,0.0006076388888888889,0.00034722222222222224,0.0009548611111111111,0.0
950,300G8WA,0.0010263480392156863,0.0011029411764705882,0.0021292892156862743,0.0
951,300GA8,0.004837962962962963,0.004461805555555556,0.009299768518518518,0.0
952,300GB,0.001171875,0.0012152777777777778,0.002387152777777778,0.0
953,300GOC0FPI,0.007395833333333333,0.00814236111111111,0.015538194444444445,0.0
954,300GSL1DU,0.008203125,0.009461805555555555,0.017664930555555555,0.0
955,300GTC9CLJ3,0.0035052910052910053,0.0032572751322751323,0.0067625661375661375,0.0
956,300GW0,8.680555555555556e-05,0.00017361111111111112,0.00026041666666666666,0.0
957,300H7OIHYTN4,0.006944444444444444,0.007378472222222222,0.014322916666666666,0.0
958,300HANZYLO,8.680555555555556e-05,0.00020833333333333335,0.0002951388888888889,0.0
959,300HIZZFTVD18D,0.0066840277777777775,0.0064670138888888885,0.013020833333333334,0.00013020833333333333
960,300HODLA9,0.00026041666666666666,0.00017361111111111112,0.00043402777777777775,0.0
961,300I39ZJYQ,0.00034722222222222224,0.00026041666666666666,0.0006076388888888889,0.0
962,300I3IRZB2MERHX,0.01478587962962963,0.017418981481481483,0.03220486111111111,0.0
963,300I6C,0.0033110119047619047,0.0033854166666666668,0.006696428571428571,0.0
