,Product,Date,account,inv_halflife_min
263,TYG,2021-04-06,1268,212.52665990994834
264,TYG,2021-04-06,126WID,373.0390391057573
265,TYG,2021-04-06,126ZAQ39VIIU,81.98306706367015
266,TYG,2021-04-06,1687BBF6P5,345.1484264859596
267,TYG,2021-04-06,554DBL6,102.24389293351426
268,TYG,2021-04-07,042WY7UCV,152.8746381483514
269,TYG,2021-04-07,1265MMDIKQ6M2QH,57.59856493910804
270,TYG,2021-04-07,12660HNF4CILP1,392.8786369475614
271,TYG,2021-04-07,1268,54.24541260271874
272,TYG,2021-04-07,126WID,171.7524641287897
273,TYG,2021-04-07,126ZAQ39VIIU,454.1691037046529
274,TYG,2021-04-07,1687BBF6P5,381.5147712353833
275,TYG,2021-04-07,554DBL6,145.87720754526038
276,TYG,2021-04-08,042WY7UCV,248.9379606008061
277,TYG,2021-04-08,1265MMDIKQ6M2QH,39.94961675288376
278,TYG,2021-04-08,12660HNF4CILP1,697.9677596226979
279,TYG,2021-04-08,1268,171.2954239831707
280,TYG,2021-04-08,126WID,501.75795622483787
281,TYG,2021-04-08,126ZAQ39VIIU,183.96691058504305
282,TYG,2021-04-08,1687BBF6P5,160.6947053658384
283,TYG,2021-04-08,554DBL6,204.49671320244806
284,TYG,2021-04-09,042WY7UCV,205.34299056179518
285,TYG,2021-04-09,1265MMDIKQ6M2QH,65.19543091406528
286,TYG,2021-04-09,12660HNF4CILP1,782.8736727211983
287,TYG,2021-04-09,1268,124.55031707345918
288,TYG,2021-04-09,126WID,66.16323399269122
289,TYG,2021-04-09,126ZAQ39VIIU,80.48568046011907
290,TYG,2021-04-09,1687BBF6P5,631.0842335528465
291,TYG,2021-04-09,554DBL6,177.30583736774466
292,TYG,2021-04-11,042WY7UCV,315.5300832920097
293,TYG,2021-04-11,1265MMDIKQ6M2QH,108.50836035084664
294,TYG,2021-04-11,12660HNF4CILP1,90.12757269283922
295,TYG,2021-04-11,1268,107.80874587051689
296,TYG,2021-04-11,126WID,26.608367142500384
297,TYG,2021-04-11,126ZAQ39VIIU,275.40348403783617
298,TYG,2021-04-11,554DBL6,206.89252879638525
299,TYG,2021-04-12,042WY7UCV,380.3751710518278
300,TYG,2021-04-12,1265MMDIKQ6M2QH,212.5425000631677
301,TYG,2021-04-12,12660HNF4CILP1,283.11019718707627
302,TYG,2021-04-12,1268,275.64923155446513
303,TYG,2021-04-12,126WID,157.70946898217218
304,TYG,2021-04-12,126ZAQ39VIIU,328.20447823005276
305,TYG,2021-04-12,1687BBF6P5,121.04398243859868
306,TYG,2021-04-12,554DBL6,179.26871214621627
307,TYG,2021-04-13,042WY7UCV,997.8413563624576
308,TYG,2021-04-13,1265MMDIKQ6M2QH,343.06892335194846
309,TYG,2021-04-13,12660HNF4CILP1,213.33589277392224
310,TYG,2021-04-13,1268,526.617756893391
311,TYG,2021-04-13,126WID,368.992236997966
312,TYG,2021-04-13,126ZAQ39VIIU,284.2971409333762
313,TYG,2021-04-13,554DBL6,165.7561488718045
314,TYG,2021-04-14,042WY7UCV,647.2394704367437
315,TYG,2021-04-14,1265MMDIKQ6M2QH,1340.5318393389005
316,TYG,2021-04-14,12660HNF4CILP1,58.93762091756814
317,TYG,2021-04-14,1268,56.79364544839908
318,TYG,2021-04-14,126WID,561.0211253241982
319,TYG,2021-04-14,126ZAQ39VIIU,46.85672637348794
320,TYG,2021-04-14,554DBL6,93.9761962736747
321,TYG,2021-04-15,042WY7UCV,84.64915854391964
322,TYG,2021-04-15,1265MMDIKQ6M2QH,179.72796743206868
323,TYG,2021-04-15,12660HNF4CILP1,213.1359685235246
324,TYG,2021-04-15,1268,96.71376767133805
325,TYG,2021-04-15,126WID,778.0565443427537
326,TYG,2021-04-15,126ZAQ39VIIU,42.16121101289821
327,TYG,2021-04-15,1687BBF6P5,926.8289982134312
328,TYG,2021-04-15,554DBL6,604.1320504630794
329,STF,2021-03-15,042WY7UCV,11598.281768293982
330,STF,2021-03-15,12660HNF4CILP1,117.1952379100596
331,STF,2021-03-15,1268,116.10753091422393
332,STF,2021-03-15,126WID,254.8516575371254
333,STF,2021-03-15,126ZAQ39VIIU,469.1154313638285
334,STF,2021-03-15,554DBL6,451.6251857292318
335,STF,2021-03-16,042WY7UCV,275.91138364612016
336,STF,2021-03-16,12660HNF4CILP1,126.51385359534592
337,STF,2021-03-16,1268,50.05727625730961
338,STF,2021-03-16,126WID,171.4766188320471
339,STF,2021-03-16,126ZAQ39VIIU,328.4305421768315
340,STF,2021-03-16,554DBL6,538.8822608109197
341,STF,2021-03-17,042WY7UCV,122.86344106119228
342,STF,2021-03-17,12660HNF4CILP1,1241.8271967260566
343,STF,2021-03-17,1268,402.2228316285026
344,STF,2021-03-17,126WID,115.46310282753785
345,STF,2021-03-17,126ZAQ39VIIU,320.9587721477992
346,STF,2021-03-17,554DBL6,229.56356956053625
347,STF,2021-03-18,042WY7UCV,75.22427389534724
348,STF,2021-03-18,12660HNF4CILP1,574.161036111536
