,account,externalSymbol,date,num_trades,NetPosition,StdInventory,eod,quantity
95,30008BRQS38A0,TYGH21,20210315,2.0,0.5,0.47316022340738384,2.0,4.0
96,168Y0GG,TYGH21,20210315,6.0,0.5,0.2057968436585062,3.0,6.0
97,554DBL6,TYGH21,20210315,836.0,0.03413498836307215,0.0250586177117415,-88.0,2578.0
98,1268,TYGH21,20210315,8624.0,0.0041784441440334275,0.005070321477145888,-102.0,24411.0
99,08266,TYGH21,20210315,26.0,0.10256410256410256,0.03328812574009273,4.0,39.0
100,081JN4D4F5T,TYGH21,20210315,2.0,0.0,0.0,0.0,4.0
101,082YGN,TYGH21,20210315,61.0,0.3411764705882353,0.12554498646312962,-29.0,85.0
102,1682JK9337,TYGH21,20210315,226.0,0.006944444444444444,0.028262337885515413,3.0,432.0
103,471F2,TYGH21,20210315,8.0,0.45454545454545453,0.29576850195094523,10.0,22.0
104,317G96J,TYGH21,20210315,694.0,0.01993067590987868,0.0164571651792895,-23.0,1154.0
105,168ZFY97C09CO7Z,TYGH21,20210315,47.0,0.05154639175257732,0.03339400646380495,-5.0,97.0
106,126ZAQ39VIIU,TYGH21,20210315,3571.0,0.02630570808325884,0.015756924869812592,-206.0,7831.0
107,471G,TYGH21,20210315,6.0,0.75,0.5306344360359899,15.0,20.0
108,168PF1TUR81RYVV,TYGH21,20210315,212.0,0.0006506180871828237,0.016256814817255553,1.0,1537.0
109,1684CLERHA7H4HN,TYGH21,20210315,3350.0,0.0260638911313574,0.016108796319570007,-226.0,8671.0
110,12660HNF4CILP1,TYGH21,20210315,2698.0,0.03256166161834704,0.021196538206958226,-301.0,9244.0
111,126C,TYGH21,20210315,1740.0,0.027998236331569663,0.021087221216132115,127.0,4536.0
112,554J0TK,TYGH21,20210315,43.0,0.04929577464788732,0.043229986378007616,-7.0,142.0
113,168UKCPHP9,TYGH21,20210315,446.0,0.11671388101983003,0.11171729360139039,206.0,1765.0
114,168O,TYGH21,20210315,1.0,0.0,0.0,0.0,1.0
115,543MZDMW,TYGH21,20210315,330.0,0.0,0.0017108939545154884,0.0,944.0
116,472MG40YN00BO,TYGH21,20210315,3.0,0.0,0.19464707973324336,0.0,3.0
117,036EREFDKOH8,TYGH21,20210315,7.0,0.0,0.0,0.0,12.0
118,03642HL0TZ,TYGH21,20210315,2.0,0.0,0.0,0.0,3.0
119,082TF3KLA2W,TYGH21,20210315,81.0,0.09404388714733543,0.07462536961389868,-30.0,319.0
120,210SKORLT,TYGH21,20210315,195.0,0.08045977011494253,0.04366563584344613,-42.0,522.0
121,1686PWKDBS,TYGH21,20210315,415.0,0.14873603762492651,0.07987612055845789,253.0,1701.0
122,656EDDAAT28K,TYGH21,20210315,264.0,0.08091286307053942,0.06127669243069035,78.0,964.0
123,4721U8LWRH8J,TYGH21,20210315,5.0,0.3333333333333333,0.2124059764875818,-3.0,9.0
124,0820AB57NJJWD2,TYGH21,20210315,355.0,0.015469613259668509,0.018325041347927437,-14.0,905.0
125,300IX7MJ,TYGH21,20210315,121.0,0.2062937062937063,0.11604860131328831,-59.0,286.0
126,112P8RLLIC,TYGH21,20210315,5099.0,0.051029844472467424,0.0369957417334762,607.0,11895.0
127,168ANV22NU,TYGH21,20210315,1.0,0.0,0.0,0.0,1.0
128,1685J2SBXQFCMC6,TYGH21,20210315,1184.0,0.026136363636363635,0.021067497602835803,-69.0,2640.0
129,455XQO,TYGH21,20210315,1.0,0.0,0.0,0.0,2.0
130,177JBH7W364UL,TYGH21,20210315,17.0,0.017241379310344827,0.09437165677567691,1.0,58.0
131,168OZWAJJ,TYGH21,20210315,300.0,0.056557377049180325,0.05237054736615845,-69.0,1220.0
132,694JT85W,TYGH21,20210315,37.0,0.0,0.0,0.0,117.0
133,126WID,TYGH21,20210315,1966.0,0.03652685342826188,0.023937907988978598,236.0,6461.0
134,317HIUYUNIUD,TYGH21,20210315,59.0,0.018867924528301886,0.09421660848792249,-2.0,106.0
135,168CXZQ,TYGH21,20210315,33.0,0.21739130434782608,0.16660082025554843,-10.0,46.0
136,168A,TYGH21,20210315,9.0,0.2222222222222222,0.19151798848403426,4.0,18.0
137,082C39XY5,TYGH21,20210315,148.0,0.025157232704402517,0.03420220318782451,-16.0,636.0
138,471F0,TYGH21,20210315,12.0,0.44,0.10350016777858469,-22.0,50.0
139,4184CU5XFUD46J,TYGH21,20210315,48.0,0.1836734693877551,0.11943771518002314,18.0,98.0
140,3007DUPNECKEE,TYGH21,20210315,88.0,0.25925925925925924,0.09931470310802645,42.0,162.0
141,418WVYPM4,TYGH21,20210315,45.0,0.19540229885057472,0.09421903909077538,-17.0,87.0
142,081J4841XMKOP,TYGH21,20210315,74.0,0.004484304932735426,0.0346200990305101,-1.0,223.0
143,042WY7UCV,TYGH21,20210315,2672.0,0.03419478614151902,0.02494618497448455,-303.0,8861.0
144,543DOLU7,TYGH21,20210315,13.0,0.4666666666666667,0.32620976036300847,-14.0,30.0
145,177OBKDJ58RR,TYGH21,20210315,40.0,0.16751269035532995,0.16512197812980017,33.0,197.0
146,300K9EE2,TYGH21,20210315,23.0,0.16666666666666666,0.086402223461411,6.0,36.0
147,168JMQBOU3,TYGH21,20210315,422.0,0.10554561717352415,0.09147090335355942,118.0,1118.0
148,317GHS5YX8B1,TYGH21,20210315,73.0,0.10256410256410256,0.07100852365514437,-16.0,156.0
149,082SL,TYGH21,20210315,38.0,0.03937007874015748,0.05231746209899119,5.0,127.0
150,16825WBJ9VGBW,TYGH21,20210315,1.0,1.0,0.2794122090188517,-1.0,1.0
151,036RW3YK,TYGH21,20210315,189.0,0.097799511002445,0.0811858620260129,80.0,818.0
152,543E5AK4O,TYGH21,20210315,48.0,0.21212121212121213,0.28978653552194705,-42.0,198.0
153,554MN0S2F,TYGH21,20210315,30.0,0.1,0.15349843022866277,-10.0,100.0
154,300AE,TYGH21,20210315,14.0,0.6521739130434783,0.20323951664202294,30.0,46.0
155,648E9YK3R,TYGH21,20210315,12.0,0.3103448275862069,0.18270860364911493,-9.0,29.0
156,5433X4I6IS6JW,TYGH21,20210315,30.0,0.043478260869565216,0.04074183402168004,-4.0,92.0
157,563EH,TYGH21,20210315,830.0,0.002944640753828033,0.007065369732990318,10.0,3396.0
158,418GH5GRSICJI4T,TYGH21,20210315,26.0,0.12643678160919541,0.12894446421464756,-11.0,87.0
159,082Q2WND707,TYGH21,20210315,57.0,0.22388059701492538,0.13413639410928654,-30.0,134.0
160,082V,TYGH21,20210315,226.0,0.0024330900243309003,0.0033700576139891534,-1.0,411.0
161,350HN,TYGH21,20210315,103.0,0.08120649651972157,0.058305669834909465,35.0,431.0
162,471W,TYGH21,20210315,14.0,0.21428571428571427,0.08293380918605156,-12.0,56.0
163,036LB25G,TYGH21,20210315,56.0,0.06086956521739131,0.024875792622745033,7.0,115.0
164,563R,TYGH21,20210315,84.0,0.0,0.029753400043528933,0.0,334.0
165,036Z6,TYGH21,20210315,5.0,0.4,0.1568929081105473,-4.0,10.0
166,081W5FXO8VCI,TYGH21,20210315,13.0,0.25,0.09805806756909202,8.0,32.0
167,5613R21C,TYGH21,20210315,2.0,0.2,0.07873862063101475,1.0,5.0
168,455GDMDSUSI67Y,TYGH21,20210315,16.0,0.030303030303030304,0.019481761979451166,1.0,33.0
169,300K9ZOUBM0X,TYGH21,20210315,4.0,0.14285714285714285,0.058287695297050204,-1.0,7.0
